ID,カテゴリ,機能名,対象ファイル,ユーザーストーリーID,期待動作,テスト状態,テスト結果,バグ番号,優先度,備考
F-001,UI/UX,イントロカード表示,simulation.html,US-001,ページ読込後5秒間コンセプトカードが表示され1.4秒かけてフェードアウトする,PASS,OK,-,高,opacity→0→display:none
F-002,UI/UX,ヘッダー常時表示,simulation.html,US-002,タイトル/時計/速度ボタンが上部中央に固定表示される,PASS,OK,-,高,-
F-003,制御,速度倍率×1,simulation.html,US-003,ボタン押下でspeedMul=1・on クラス切替,PASS,OK,-,高,-
F-004,制御,速度倍率×2,simulation.html,US-004,ボタン押下でspeedMul=2・on クラス切替,PASS,OK,-,高,-
F-005,制御,速度倍率×4,simulation.html,US-005,ボタン押下でspeedMul=4・on クラス切替,PASS,OK,-,高,-
F-006,時刻,24時間シミュレーション時計,simulation.html,US-006,実時間dtに基づき仮想時刻が進み HH:MM 形式で表示される,PASS,OK,-,高,-
F-007,時刻,ラッシュアワー判定,simulation.html,US-007,7-9時・17-19時に rushBadge が表示され rushMul=0.52 が適用される,PASS,OK,-,高,-
F-008,時刻,深夜判定,simulation.html,US-008,22-5時に nightBadge が表示される,PASS,OK,-,中,-
F-009,気象,雨天判定,simulation.html,US-009,20-6時に rainBadge が表示され rainIntensity が増加する,PASS,OK,-,中,-
F-010,気象,雨パーティクル,simulation.html,US-010,7000粒の雨がY軸下方向に落下・上端でリセットされる,PASS,OK,-,中,-
F-011,気象,路面濡れ表現,simulation.html,US-011,雨時に wetPlane の opacity/emissive が増加して路面反射を表現,PASS,OK,-,低,-
F-012,3D,Three.js シーン初期化,simulation.html,US-012,WebGLRenderer/カメラ/OrbitControls が初期化される,PASS,OK,-,高,-
F-013,3D,ブルームポストプロセス,simulation.html,US-013,UnrealBloomPass でグロー効果が全オブジェクトに適用される,PASS,OK,-,中,-
F-014,3D,昼夜サイクルライティング,simulation.html,US-014,isNight/isRush により背景色・霧濃度・太陽光強度が線形補間される,PASS,OK,-,中,-
F-015,3D,影マッピング,simulation.html,US-015,PCFSoftShadowMap で建物・車が地面に影を落とす,PASS,OK,-,低,-
F-016,ワールド,地面生成,simulation.html,US-016,600×260 のプレーン地面が生成される,PASS,OK,-,中,-
F-017,ワールド,高速道路生成,simulation.html,US-017,6車線（急行/通常/合乗 各2方向）の道路面が生成される,PASS,OK,-,高,-
F-018,ワールド,方向矢印生成,simulation.html,US-018,A→B/B→A 矢印テクスチャが各車線に70間隔で配置される,PASS,OK,-,中,-
F-019,ワールド,ゾーンA生成,simulation.html,US-019,X=-440〜-270 に青系建物群がグリッド配置される,PASS,OK,-,高,-
F-020,ワールド,ゾーンB生成,simulation.html,US-020,X=270〜440 に紫系建物群がグリッド配置される,PASS,OK,-,高,-
F-021,ワールド,建物タイプ:オフィス,simulation.html,US-021,ガラス窓列・背面ウィンドウ・高層アンテナ付き建物が生成される,PASS,OK,-,中,-
F-022,ワールド,建物タイプ:住居,simulation.html,US-022,低層ポディウム+上層セットバック構造の住居棟が生成される,PASS,OK,-,中,-
F-023,ワールド,建物タイプ:複合,simulation.html,US-023,地上階ガラス商業+上層コンクリート住居の複合棟が生成される,PASS,OK,-,中,-
F-024,ワールド,ゲート生成,simulation.html,US-024,道路両端に20高さの門柱+横梁+照明が生成される,PASS,OK,-,中,-
F-025,ワールド,街路灯生成,simulation.html,US-025,道路両側 44 間隔で灯柱+アーム+球体灯が生成される,PASS,OK,-,低,-
F-026,ワールド,星空生成,simulation.html,US-026,3000点の星が上空 150〜750m に配置される,PASS,OK,-,低,-
F-027,ワールド,木生成,simulation.html,US-027,中央分離帯に30間隔でオーク木が配置される,PASS,OK,-,低,-
F-028,ワールド,CSS2D ゾーンラベル,simulation.html,US-028,「生存圏A」「生存圏B」の CSS2D ラベルが空中に浮かぶ,PASS,OK,-,中,-
F-029,ワールド,車線ラベル,simulation.html,US-029,各車線に方向＋種別の CSS2D ラベルが表示される,PASS,OK,-,低,-
F-030,車両,Car クラス初期化,simulation.html,US-030,車両ID（C001形式）・最大速度・出発/終点座標が設定される,PASS,OK,-,高,-
F-031,車両,車両3Dモデル:急行,simulation.html,US-031,細身・赤ルーフ・床下グロー・ヘッドライト/テールランプ付き車両,PASS,OK,-,高,-
F-032,車両,車両3Dモデル:通常,simulation.html,US-032,標準サイズ・黄ルーフ・ヘッドライト/テールランプ付き車両,PASS,OK,-,高,-
F-033,車両,車両3Dモデル:合乗バス,simulation.html,US-033,大型・青ルーフ・側面窓・2〜6名乗車の合乗バス,PASS,OK,-,高,-
F-034,車両,車両移動・速度制御,simulation.html,US-034,maxSpd に向け加速し前方車両との gap が MIN_GAP 未満なら減速する,PASS,OK,-,高,-
F-035,車両,前方車両検知 (Adaptive),simulation.html,US-035,同一車線の前方車両距離を走査し追従速度制御を行う,PASS,OK,-,高,-
F-036,車両,車両到達・廃棄,simulation.html,US-036,endX に到達した車両は done=true になりシーンから除去される,PASS,OK,-,高,-
F-037,車両,合乗乗客数,simulation.html,US-037,合乗車両は 2〜6 名をランダム保持し輸送済みカウントに加算される,PASS,OK,-,中,-
F-038,インタラクション,車両クリック選択,simulation.html,US-038,3D車両クリックで selected 設定・carinfo パネル表示・追尾カメラ開始,PASS,OK,-,高,-
F-039,インタラクション,選択解除（×ボタン）,simulation.html,US-039,ci-close クリックで selected=null・carinfo 非表示・orbit 再有効化,PASS,OK,-,高,-
F-040,インタラクション,選択解除（ESC）,simulation.html,US-040,ESC キー押下で deselect() が呼ばれ追尾解除される,PASS,OK,-,高,-
